,S&P500,KOSPI200
2017-12-27,2682.62,320.25
2017-12-26,2680.5,318.89
2017-12-22,2683.34,321.21
2017-12-21,2684.57,319.72
2017-12-20,2679.25,325.79
2017-12-19,2681.47,326.76
2017-12-18,2690.16,326.6
2017-12-15,2675.81,326.23
2017-12-14,2652.01,324.74
2017-12-13,2662.85,326.18
2017-12-12,2664.11,324.07
2017-12-11,2659.99,325.09
2017-12-08,2651.5,324.68
2017-12-07,2636.98,323.59
2017-12-06,2629.27,324.52
2017-12-05,2629.57,329.61
2017-12-04,2639.44,328.77
2017-12-01,2642.22,324.78
2017-11-30,2647.58,325.25
2017-11-29,2626.07,330.68
2017-11-28,2627.04,330.99
2017-11-27,2601.42,329.53
2017-11-24,2602.42,335.44
2017-11-23,2602.42,334.51
2017-11-22,2597.08,335.49
2017-11-21,2599.03,333.51
2017-11-20,2582.14,332.92
2017-11-17,2578.85,334.18
2017-11-16,2585.64,334.36
2017-11-15,2564.62,332.17
2017-11-14,2578.87,333.62
2017-11-13,2584.84,334.33
2017-11-10,2582.3,335.96
2017-11-09,2584.62,337.14
2017-11-08,2594.38,337.8
2017-11-07,2590.64,336.76
2017-11-06,2591.13,337.4
2017-11-03,2587.84,338.83
2017-11-02,2579.85,337.53
2017-11-01,2579.36,338.76
2017-10-31,2575.26,333.57
2017-10-30,2572.83,330.38
2017-10-27,2581.07,329.23
2017-10-26,2560.4,326.99
2017-10-25,2557.15,329.31
2017-10-24,2569.13,328.96
2017-10-23,2564.98,329.45
2017-10-20,2575.21,328.89
2017-10-19,2562.1,326.47
2017-10-18,2561.26,328.4
2017-10-17,2559.36,328.51
2017-10-16,2557.64,327.82
2017-10-13,2553.17,327.35
2017-10-12,2550.93,328.11
2017-10-11,2555.24,326.12
2017-10-10,2550.64,322.49
2017-10-09,2544.73,322.49
2017-10-06,2549.33,322.49
2017-10-05,2552.07,322.49
2017-10-04,2537.74,322.49
2017-10-03,2534.58,322.49
2017-10-02,2529.12,322.49
2017-09-29,2519.36,316.27
2017-09-28,2510.06,313.85
2017-09-27,2507.04,313.82
2017-09-26,2496.84,314.29
2017-09-25,2496.66,316.4
2017-09-22,2502.22,316.71
2017-09-21,2500.6,318.25
2017-09-20,2508.24,318.48
2017-09-19,2506.65,318.51
2017-09-18,2503.87,318.93
2017-09-15,2500.23,313.69
2017-09-14,2495.62,312.52
2017-09-13,2498.37,310.0
2017-09-12,2496.48,310.42
2017-09-11,2488.11,309.83
2017-09-08,2461.43,307.43
2017-09-07,2465.1,306.97
2017-09-06,2465.54,303.18
2017-09-05,2457.85,304.06
2017-09-04,2457.85,304.19
2017-09-01,2476.55,307.78
2017-08-31,2471.65,308.28
2017-08-30,2457.59,309.65
