,S&P500,KOSPI200
2019-12-27,3240.02,295.2
2019-12-26,3239.91,294.06
2019-12-24,3223.38,292.9
2019-12-23,3224.01,294.87
2019-12-20,3221.22,295.31
2019-12-19,3205.37,294.31
2019-12-18,3191.14,294.22
2019-12-17,3192.52,294.4
2019-12-16,3191.45,289.76
2019-12-13,3168.8,290.11
2019-12-12,3168.57,285.11
2019-12-11,3141.63,280.28
2019-12-10,3132.52,279.31
2019-12-09,3135.96,278.03
2019-12-06,3145.91,276.56
2019-12-05,3117.43,273.3
2019-12-04,3112.76,274.15
2019-12-03,3093.2,276.19
2019-12-02,3113.87,277.44
2019-11-29,3140.98,276.78
2019-11-28,3140.98,281.23
2019-11-27,3153.63,282.85
2019-11-26,3140.52,281.83
2019-11-25,3133.64,282.19
2019-11-22,3110.29,279.43
2019-11-21,3103.54,278.28
2019-11-20,3108.46,282.21
2019-11-19,3120.18,286.23
2019-11-18,3122.03,287.18
2019-11-15,3120.46,287.29
2019-11-14,3096.63,283.93
2019-11-13,3094.04,281.28
2019-11-12,3091.84,283.65
2019-11-11,3087.01,280.85
2019-11-08,3093.08,283.13
2019-11-07,3085.18,284.37
2019-11-06,3076.78,284.52
2019-11-05,3074.62,284.38
2019-11-04,3078.27,282.54
2019-11-01,3066.91,278.43
2019-10-31,3037.56,275.82
2019-10-30,3046.77,275.51
2019-10-29,3036.89,277.55
2019-10-28,3039.42,277.78
2019-10-25,3022.55,277.07
2019-10-24,3010.29,276.7
2019-10-23,3004.52,276.23
2019-10-22,2995.99,277.41
2019-10-21,3006.72,273.79
2019-10-18,2986.2,272.81
2019-10-17,2997.95,275.57
2019-10-16,2989.69,276.32
2019-10-15,2995.68,274.34
2019-10-14,2966.15,274.23
2019-10-11,2970.27,271.3
2019-10-10,2938.13,268.8
2019-10-09,2919.4,268.8
2019-10-08,2893.06,271.36
2019-10-07,2938.79,267.67
2019-10-04,2952.01,267.39
2019-10-03,2910.63,267.39
2019-10-02,2887.61,268.55
2019-10-01,2940.25,274.42
2019-09-30,2976.74,273.55
2019-09-27,2961.79,271.33
2019-09-26,2977.62,274.89
2019-09-25,2984.87,274.42
2019-09-24,2966.6,277.97
2019-09-23,2991.78,276.65
2019-09-20,2992.07,276.44
2019-09-19,3006.79,274.92
2019-09-18,3006.73,273.06
2019-09-17,3005.7,271.68
2019-09-16,2997.96,272.02
2019-09-13,3007.39,272.02
2019-09-12,3009.57,272.02
2019-09-11,3000.93,270.84
2019-09-10,2979.39,268.76
2019-09-09,2978.43,267.4
