,Outstanding,Floating,Price,Name,f Market Cap,Market Cap
000660,728002365,73.89,38100.0,SK하이닉스,20494788099692.85,277368901065.0
005380,213668187,65.36,97000.0,현대차,13546392121250.4,207258141390.0
005490,87186835,77.94,200500.0,POSCO,13624660549399.5,174809604175.0
005930,5969782550,78.78,665000.0,삼성전자,3127491470771850.5,39699053957500.0
012330,95306694,67.22,92600.0,현대모비스,5932433788849.68,88253998644.0
028260,189690043,52.09,113000.0,삼성물산,11165478404053.102,214349748590.0
035420,164813395,77.15,272400.0,NAVER,34636622727657.0,448951687980.0
051910,70592343,64.28,56800.0,LG화학,2577399858966.72,40096450824.0
068270,128337853,75.82,6530.0,셀트리온,635406613744.238,8380461800.900001
207940,66165000,24.77,144000.0,삼성바이오로직스,2360026152000.0,95277600000.0
