,K200
2006-01-03,178.81
2006-01-04,179.91
2006-01-05,178.82
2006-01-06,180.87
2006-01-09,180.3
2006-01-10,178.98
2006-01-11,178.67
2006-01-12,179.65
2006-01-13,181.71
2006-01-16,182.39
2006-01-17,178.27
2006-01-18,173.81
2006-01-19,174.93
2006-01-20,170.6
2006-01-23,168.04
2006-01-24,171.79
2006-01-25,173.52
2006-01-26,174.71
2006-01-27,178.64
2006-01-31,180.65
2006-02-01,178.07
2006-02-02,177.92
2006-02-03,172.67
2006-02-06,173.66
2006-02-07,172.39
2006-02-08,169.44
2006-02-09,170.93
2006-02-10,172.68
2006-02-13,170.61
2006-02-14,171.65
2006-02-15,168.31
2006-02-16,169.8
2006-02-17,172.4
2006-02-20,174.28
2006-02-21,174.04
2006-02-22,173.26
2006-02-23,176.18
2006-02-24,176.96
2006-02-27,178.1
2006-02-28,177.45
2006-03-02,176.85
2006-03-03,171.67
2006-03-06,173.86
2006-03-07,170.13
2006-03-08,169.76
2006-03-09,169.17
2006-03-10,170.37
2006-03-13,172.82
2006-03-14,171.1
2006-03-15,172.28
2006-03-16,172.66
2006-03-17,173.48
2006-03-20,174.26
2006-03-21,172.87
2006-03-22,169.28
2006-03-23,169.68
2006-03-24,170.86
2006-03-27,172.44
2006-03-28,172.77
2006-03-29,172.96
2006-03-30,173.61
2006-03-31,176.21
2006-04-03,178.89
2006-04-04,179.77
2006-04-05,179.97
2006-04-06,181.1
2006-04-07,181.97
2006-04-10,181.31
2006-04-11,179.61
2006-04-12,179.13
2006-04-13,181.91
2006-04-14,185.67
2006-04-17,184.3
2006-04-18,184.9
2006-04-19,186.34
2006-04-20,185.86
2006-04-21,188.2
2006-04-24,185.41
2006-04-25,185.54
2006-04-26,188.34
2006-04-27,188.4
2006-04-28,184.1
2006-05-02,186.17
2006-05-03,186.03
2006-05-04,186.98
2006-05-08,188.79
2006-05-09,188.51
2006-05-10,188.62
2006-05-11,190.2
2006-05-12,187.27
2006-05-15,183.08
2006-05-16,179.0
2006-05-17,181.69
2006-05-18,177.18
2006-05-19,177.94
2006-05-22,173.6
2006-05-23,172.78
2006-05-24,173.36
2006-05-25,168.33
2006-05-26,171.83
2006-05-29,172.64
2006-05-30,171.01
2006-06-01,168.03
2006-06-02,169.85
2006-06-05,168.83
2006-06-07,164.17
2006-06-08,158.11
2006-06-09,159.61
2006-06-12,160.05
2006-06-13,155.43
2006-06-14,157.7
2006-06-15,157.36
2006-06-16,163.05
2006-06-19,161.79
2006-06-20,158.48
2006-06-21,158.63
2006-06-22,160.2
2006-06-23,158.88
2006-06-26,160.18
2006-06-27,161.36
2006-06-28,160.18
2006-06-29,163.3
2006-06-30,167.45
2006-07-03,167.33
2006-07-04,166.15
2006-07-05,165.51
2006-07-06,163.47
2006-07-07,164.7
2006-07-10,168.27
2006-07-11,168.45
2006-07-12,167.93
2006-07-13,166.35
2006-07-14,162.33
2006-07-18,159.69
2006-07-19,159.76
2006-07-20,165.11
2006-07-21,165.0
2006-07-24,163.93
2006-07-25,166.25
2006-07-26,166.1
2006-07-27,168.52
2006-07-28,168.54
2006-07-31,168.51
2006-08-01,167.14
2006-08-02,168.27
2006-08-03,167.94
2006-08-04,169.68
2006-08-07,167.61
2006-08-08,170.68
2006-08-09,171.11
2006-08-10,169.44
2006-08-11,167.65
2006-08-14,168.19
2006-08-16,171.01
2006-08-17,172.65
2006-08-18,173.17
2006-08-21,171.96
2006-08-22,173.81
2006-08-23,172.33
2006-08-24,171.08
2006-08-25,172.92
2006-08-28,172.64
2006-08-29,174.79
2006-08-30,174.16
2006-08-31,175.44
2006-09-01,175.99
2006-09-04,176.32
2006-09-05,176.75
2006-09-06,176.19
2006-09-07,175.43
2006-09-08,175.78
2006-09-11,173.0
2006-09-12,172.28
2006-09-13,172.93
2006-09-14,176.35
2006-09-15,176.51
2006-09-18,178.28
2006-09-19,178.32
2006-09-20,177.34
2006-09-21,177.31
2006-09-22,175.0
2006-09-25,176.03
2006-09-26,174.58
2006-09-27,176.74
2006-09-28,178.21
2006-09-29,178.05
2006-10-02,178.46
2006-10-04,175.48
2006-10-09,171.78
2006-10-10,172.78
2006-10-11,172.51
2006-10-12,173.1
2006-10-13,175.42
2006-10-16,176.51
2006-10-17,175.85
2006-10-18,176.19
2006-10-19,176.11
2006-10-20,177.35
2006-10-23,177.36
2006-10-24,177.49
2006-10-25,178.2
2006-10-26,178.53
2006-10-27,177.85
2006-10-30,175.99
2006-10-31,176.84
2006-11-01,177.94
2006-11-02,179.22
2006-11-03,179.14
2006-11-06,178.41
2006-11-07,179.45
2006-11-08,178.61
2006-11-09,181.31
2006-11-10,180.78
2006-11-13,180.93
2006-11-14,182.3
2006-11-15,182.9
2006-11-16,182.69
2006-11-17,182.94
2006-11-20,181.6
2006-11-21,182.06
2006-11-22,184.24
2006-11-23,183.77
2006-11-24,183.91
2006-11-27,184.27
2006-11-28,182.42
2006-11-29,183.8
2006-11-30,184.96
2006-12-01,185.28
2006-12-04,184.31
2006-12-05,183.53
2006-12-06,182.6
2006-12-07,182.19
2006-12-08,179.49
2006-12-11,179.5
2006-12-12,177.93
2006-12-13,178.75
2006-12-14,183.57
2006-12-15,183.82
2006-12-18,185.38
2006-12-19,184.63
2006-12-20,186.54
2006-12-21,185.81
2006-12-22,185.98
2006-12-26,185.62
2006-12-27,184.3
2006-12-28,185.39
2007-01-02,185.7
2007-01-03,182.13
2007-01-04,180.52
2007-01-05,179.1
2007-01-08,177.08
2007-01-09,177.52
2007-01-10,174.99
2007-01-11,176.26
2007-01-12,179.36
2007-01-15,179.82
2007-01-16,179.73
2007-01-17,178.5
2007-01-18,179.12
2007-01-19,176.23
2007-01-22,176.83
2007-01-23,176.9
2007-01-24,179.37
2007-01-25,179.12
2007-01-26,177.58
2007-01-29,176.41
2007-01-30,177.45
2007-01-31,175.99
2007-02-01,179.1
2007-02-02,183.2
2007-02-05,183.73
2007-02-06,185.09
2007-02-07,184.67
2007-02-08,184.25
2007-02-09,184.72
2007-02-12,182.8
2007-02-13,183.29
2007-02-14,185.72
2007-02-15,186.82
2007-02-16,187.57
2007-02-20,188.12
2007-02-21,187.9
2007-02-22,189.72
2007-02-23,190.19
2007-02-26,190.12
2007-02-27,188.15
2007-02-28,183.2
2007-03-02,182.78
2007-03-05,177.69
2007-03-06,181.23
2007-03-07,182.36
2007-03-08,183.94
2007-03-09,183.87
2007-03-12,186.36
2007-03-13,185.72
2007-03-14,181.81
2007-03-15,184.41
2007-03-16,184.42
2007-03-19,186.31
2007-03-20,186.34
2007-03-21,186.24
2007-03-22,187.15
2007-03-23,186.89
2007-03-26,187.19
2007-03-27,187.68
2007-03-28,185.96
2007-03-29,187.44
2007-03-30,187.6
2007-04-02,188.56
2007-04-03,189.12
2007-04-04,191.77
2007-04-05,191.41
2007-04-06,191.63
2007-04-09,193.85
2007-04-10,193.55
2007-04-11,195.27
2007-04-12,196.81
2007-04-13,195.85
2007-04-16,197.1
2007-04-17,196.57
2007-04-18,197.31
2007-04-19,194.59
2007-04-20,197.24
2007-04-23,198.62
2007-04-24,200.02
2007-04-25,198.43
2007-04-26,199.75
2007-04-27,198.28
2007-04-30,198.55
2007-05-02,199.86
2007-05-03,200.67
2007-05-04,201.56
2007-05-07,203.57
2007-05-08,203.51
2007-05-09,204.77
2007-05-10,205.51
2007-05-11,206.06
2007-05-14,206.28
2007-05-15,204.22
2007-05-16,205.62
2007-05-17,207.35
2007-05-18,206.69
2007-05-21,208.74
2007-05-22,210.69
2007-05-23,211.15
2007-05-25,210.54
2007-05-28,211.88
2007-05-29,212.06
2007-05-30,211.76
2007-05-31,216.45
2007-06-01,218.74
2007-06-04,221.9
2007-06-05,222.37
2007-06-07,223.17
2007-06-08,219.8
2007-06-11,218.39
2007-06-12,219.94
2007-06-13,218.59
2007-06-14,224.46
2007-06-15,224.61
2007-06-18,228.8
2007-06-19,229.04
2007-06-20,226.58
2007-06-21,227.81
2007-06-22,224.95
2007-06-25,223.4
2007-06-26,222.43
2007-06-27,220.35
2007-06-28,222.6
2007-06-29,221.31
2007-07-02,224.75
2007-07-03,229.29
2007-07-04,233.43
2007-07-05,234.75
2007-07-06,236.52
2007-07-09,239.68
2007-07-10,241.02
2007-07-11,240.46
2007-07-12,242.86
2007-07-13,250.19
2007-07-16,247.91
2007-07-18,244.92
2007-07-19,245.7
2007-07-20,251.45
2007-07-23,252.28
2007-07-24,252.61
2007-07-25,253.93
2007-07-26,248.75
2007-07-27,238.34
2007-07-30,241.39
2007-07-31,244.32
2007-08-01,234.36
2007-08-02,233.84
2007-08-03,236.91
2007-08-06,233.92
2007-08-07,234.5
2007-08-08,240.07
2007-08-09,241.0
2007-08-10,230.68
2007-08-13,233.88
2007-08-14,230.45
2007-08-16,215.67
2007-08-17,208.57
2007-08-20,219.72
2007-08-21,220.18
2007-08-22,223.24
2007-08-23,228.6
2007-08-24,227.18
2007-08-27,228.65
2007-08-28,232.38
2007-08-29,232.32
2007-08-30,234.22
2007-08-31,238.28
2007-09-03,238.72
2007-09-04,237.91
2007-09-05,236.61
2007-09-06,239.61
2007-09-07,238.92
2007-09-10,232.44
2007-09-11,234.12
2007-09-12,229.44
2007-09-13,233.86
2007-09-14,236.54
2007-09-17,236.72
2007-09-18,232.42
2007-09-19,241.08
2007-09-20,242.42
2007-09-21,243.45
2007-09-27,247.1
2007-09-28,247.2
2007-10-01,249.3
2007-10-02,256.8
2007-10-04,254.92
