,K10 Market Cap,K10
2017-12-28,511090974140729.06,132.32777664295307
2017-12-27,503464980253846.25,130.35331247355438
2017-12-26,493383630380845.3,127.74312626062665
2017-12-22,500870321434555.8,129.6815232030023
2017-12-21,495238892187889.2,128.2234764965694
2017-12-20,507573418838452.9,131.4170380544828
2017-12-19,511819659406133.4,132.5164422737746
2017-12-18,509431201452297.1,131.89804095849465
2017-12-15,504575284750449.44,130.64078404489095
2017-12-14,504074306065625.0,130.51107446506558
2017-12-13,507370149055778.6,131.364408992807
2017-12-12,508542246925495.9,131.66787963297708
2017-12-11,507908275596757.7,131.50373661220013
2017-12-08,509536571087839.06,131.92532246081504
2017-12-07,503362708281398.06,130.3268329945346
2017-12-06,501056180831491.6,129.7296445004016
2017-12-05,510016636159386.7,132.04961724741077
2017-12-04,511912053478515.56,132.54036424225364
2017-12-01,506874947683146.8,131.23619523058773
2017-11-30,502278303845867.8,130.04606726945653
2017-11-29,514995903790238.4,133.3388112426845
2017-11-28,516419091986582.06,133.70729227501593
2017-11-27,512833370130092.0,132.77890452227368
2017-11-24,529951013199276.8,137.21087409974692
2017-11-23,528021239603467.25,136.71123183980077
2017-11-22,530781697626911.75,137.42594857564754
2017-11-21,528414139966356.25,136.81295860488544
2017-11-20,525211002201177.06,135.98362660687891
2017-11-17,529290588482723.9,137.039881969572
2017-11-16,528934613018585.1,136.94771551762452
2017-11-15,525700164630211.44,136.1102768118844
2017-11-14,528148279611391.56,136.74412406964615
2017-11-13,531578857997642.94,137.6323432584417
2017-11-10,529670452393642.25,137.13823343594888
2017-11-09,530949080687948.4,137.46928612108533
2017-11-08,535804443800101.56,138.7263997034679
2017-11-07,533711691848950.5,138.18456033088532
2017-11-06,537200887847066.75,139.08795634463507
2017-11-03,539350621661860.5,139.64454902671892
2017-11-02,540244360557525.8,139.87594908452968
2017-11-01,542712134581627.7,140.514886311734
2017-10-31,534680094504904.1,138.43529176000698
2017-10-30,524147512292423.25,135.7082759115468
2017-10-27,521145402028534.06,134.93099242082317
2017-10-26,511928042488941.4,132.5445039948758
2017-10-25,514229489515958.6,133.1403771046656
2017-10-24,515846930355130.0,133.55915254960257
2017-10-23,517688765389053.0,134.0360264278625
2017-10-20,514099896957005.1,133.10682398777752
2017-10-19,510077510307578.0,132.06537831753872
2017-10-18,520877825599470.9,134.86171357276774
2017-10-17,515881876014690.4,133.56820041322553
2017-10-16,510988074712022.0,132.30113470774472
2017-10-13,510811203883320.7,132.2553406618718
2017-10-12,513973016627543.06,133.07397310066165
2017-10-11,510384909756100.56,132.14496783803975
2017-10-10,501857307269909.9,129.93706604718983
2017-09-29,488903032203018.5,126.58304395649455
2017-09-28,486082117946227.56,125.8526743538438
2017-09-27,487836692370450.7,126.30695538062653
2017-09-26,489356094897077.0,126.70034749347332
2017-09-25,499250088525366.4,129.26202485659297
2017-09-22,494709887830746.2,128.08651072343505
2017-09-21,495584605887894.9,128.31298605081983
2017-09-20,495191362862354.94,128.21117056613528
2017-09-19,491601738327901.0,127.28177236178253
2017-09-18,493458727289621.94,127.76256977944026
2017-09-15,477868637280553.94,123.72610258877639
2017-09-14,477943445927557.7,123.7454714730505
2017-09-13,469216598596673.5,121.48598272676632
2017-09-12,469649286522114.44,121.59801098406457
2017-09-11,467472033344431.56,121.03429319844732
